File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 68740 (30.22%), 0 (0.00%), 1254 (0.55%), 179 (0.08%), 0 (0.00%), 0 (0.00%), 96588 (42.47%), 130847 (57.53%), 227435
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_gather,test1,0.001000,0.001000,0.001000,0.000000,68740.426000,0.000000,0.000000,-nan,0.000000,68740.427000,2.749406,2.706447,0.000000,-nan,0.000000,227435.372000
grad_param_comm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,90835.713000,4.161257,4.096237,0.000000,-nan,0.000000,227435.372000
grad_param_compute,test1,0.001000,0.001000,34021.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
embedding_grads,test1,0.001000,0.001000,0.001000,0.000000,0.000000,50.395000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,50.395000,77.512650,116.268974,227435.372000
moe_grad_norm1,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,163485.834000,0.764592,0.716805,0.000000,-nan,0.000000,227435.372000
moe_grad_norm2,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,76992.527000,3.247068,3.044127,0.000000,-nan,0.000000,227435.372000
embedding_layer,test1,799.000000,17374.000000,0.001000,50.395000,0.000000,0.000000,50.395000,77.512650,116.268974,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
attention_column,test1,910.000000,910.000000,910.000000,25.255000,0.000000,0.000000,25.255000,154.672348,116.004257,0.000000,-nan,0.000000,0.000000,-nan,-nan,227435.372000
attention_row,test1,910.000000,910.000000,910.000000,25.315000,0.000000,25.255000,25.315000,154.305740,115.729309,0.000000,-nan,0.000000,25.255000,154.672348,116.004257,227435.372000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,9.439000,0.000000,0.000000,9.439000,0.404142,0.303107,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,11.158000,0.000000,11.158000,11.158000,175.042572,131.281921,0.000000,-nan,0.000000,11.158000,175.042572,131.281921,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,40.951000,0.000000,41.011000,40.951000,190.776779,143.082581,0.000000,-nan,0.000000,41.011000,190.497665,142.873245,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,41.011000,0.000000,40.951000,41.011000,190.497665,142.873245,0.000000,-nan,0.000000,40.951000,190.776779,143.082581,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,11.158000,0.000000,11.158000,11.158000,175.042572,131.281921,0.000000,-nan,0.000000,11.158000,175.042572,131.281921,227435.372000
attention_column,test1,910.000000,910.000000,910.000000,25.255000,0.000000,0.000000,25.255000,154.672348,116.004257,0.000000,-nan,0.000000,0.000000,-nan,-nan,227435.372000
attention_row,test1,910.000000,910.000000,910.000000,25.315000,0.000000,25.255000,25.315000,154.305740,115.729309,0.000000,-nan,0.000000,25.255000,154.672348,116.004257,227435.372000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,9.439000,0.000000,0.000000,9.439000,0.404142,0.303107,0.000000,-nan,0.000000,0.000000,-nan,0.000000,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,11.158000,0.000000,11.158000,11.158000,175.042572,131.281921,0.000000,-nan,0.000000,11.158000,175.042572,131.281921,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,40.951000,0.000000,41.011000,40.951000,190.776779,143.082581,0.000000,-nan,0.000000,41.011000,190.497665,142.873245,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,41.011000,0.000000,40.951000,41.011000,190.497665,142.873245,0.000000,-nan,0.000000,40.951000,190.776779,143.082581,227435.372000
mlp_moelayer,test1,0.001000,0.001000,0.001000,11.158000,0.000000,11.158000,11.158000,175.042572,131.281921,0.000000,-nan,0.000000,11.158000,175.042572,131.281921,227435.372000
attention_column,test1,910.000000,910.000000,910.000000,25.255000,0.000000,0.000000,25.255000,154.672348,116.004257,0.000000,-nan,0.000000,0.000000,-nan,-nan,227435.372000
attention_row,test1,910.000000,910.000000,910.000000,25.315000,0.000000,25.255000,25.315000,154.305740,115.729309,0.000000,-nan,0.000000,25.255000,154.672348,116.004257,227435.372000
